Time (hour), Canopy assimilation rate (umol.m-1.s-1),Sunlit leaves assimilation rate (umol.m-1.s-1), Shaded leaves assimilation rate (umol.m-1.s-1), LAI at sunlit leaves (m2.m-2),LAI at shaded leaves (m2.m-2), Conductance (mmol.m-2.s-1)
0.0,2.1854338907492342E-5,2.1854336838127247E-5,2.069365094441215E-12,2.8406694476561445E-7,2.9999997159330554,60.00048636622356
1.0,2.2090816270817835E-5,2.209081417906094E-5,2.091756895143249E-12,2.8406694476561445E-7,2.9999997159330554,60.000491629004316
2.0,2.2168627271602443E-5,2.2168625172477702E-5,2.0991247395639283E-12,2.8406694476561445E-7,2.9999997159330554,60.000493360680395
3.0,2.2090816270817835E-5,2.209081417906094E-5,2.091756895143249E-12,2.8406694476561445E-7,2.9999997159330554,60.000491629004316
4.0,2.1854338907492342E-5,2.1854336838127247E-5,2.069365094441215E-12,2.8406694476561445E-7,2.9999997159330554,60.00048636622356
5.0,1.519547256816319,1.5091738111743183,0.010373445642000885,0.020475219262005236,2.9795247807379948,94.0394462510053
6.0,11.165675443306622,9.30709594533479,1.8585794979718306,0.1921252940545626,2.807874705945437,322.37149317582566
7.0,19.239210748699453,12.0321437266091,7.207067022090354,0.3761439015041385,2.6238560984958617,541.3929568331804
8.0,25.564096752699015,12.683947616180271,12.880149136518746,0.5577317218861555,2.4422682781138443,727.3697390918219
9.0,29.35613001079159,12.368319746627165,16.987810264164423,0.7197758721729411,2.2802241278270587,839.6384567352411
10.0,31.41221076401947,11.588574126194192,19.823636637825278,0.8502191843328784,2.1497808156671216,900.5822386195728
11.0,32.21580083795599,10.757959550998848,21.45784128695714,0.9439641413667288,2.056035858633271,923.8057029359537
12.0,32.189071588886826,10.095174146277946,22.093897442608878,0.9999718596161401,2.00002814038386,922.0758730601121
13.0,31.73082060053099,9.71061309151384,22.020207509017148,1.0185593976981318,1.9814406023018682,907.8736687222113
14.0,31.091035797872877,9.647120317924928,21.443915479947947,0.9999718596161401,2.00002814038386,889.048039776256
15.0,30.305846176175994,9.898311455135648,20.407534721040346,0.9439641413667288,2.056035858633271,866.7975214888068
16.0,29.18453549179109,10.399351407110885,18.785184084680207,0.8502191843328784,2.1497808156671216,835.3863118333165
17.0,27.34880821770853,10.987131168296306,16.361677049412222,0.7197758721729411,2.2802241278270587,783.4869968308702
18.0,24.336513316735598,11.332488943026554,13.004024373709042,0.5577317218861555,2.4422682781138443,697.7694099399196
19.0,18.2318639884879,10.856222714140285,7.375641274347614,0.3761439015041385,2.6238560984958617,517.7760809566688
20.0,10.261494414701056,8.516081953841216,1.7454124608598407,0.1921252940545626,2.807874705945437,300.22897882011733
21.0,1.4222054887179734,1.412496567285826,0.009708921432147303,0.020475219262005236,2.9795247807379948,91.84559268467996
22.0,2.087754811633626E-5,2.087754613946249E-5,1.9768737692015835E-12,2.8406694476561445E-7,2.9999997159330554,60.000464627840074
23.0,2.145189585063982E-5,2.145189381938165E-5,2.031258171240472E-12,2.8406694476561445E-7,2.9999997159330554,60.000477409892476
